gene_combination,TTN,LN_mean_relative,LN_mean_relative_bootstrap_median,LN_mean_relative_bootstrap_mean,LN_mean_relative_97.5P,LN_mean_relative_2.5P,LN_mean_relative_pvalue_twoside,LN_mean_relative_pvalue_twoside_FDR,95_percentile_relative,95_percentile_relative_bootstrap_median,95_percentile_relative_bootstrap_mean,95_percentile_relative_97.5P,95_percentile_relative_2.5P,95_percentile_relative_pvalue_twoside,95_percentile_relative_pvalue_twoside_FDR,TTN_normalized_relative,TTN_normalized_relative_bootstrap_median,TTN_normalized_relative_bootstrap_mean,TTN_normalized_relative_97.5P,TTN_normalized_relative_2.5P,TTN_normalized_relative_pvalue_twoside,TTN_normalized_relative_pvalue_twoside_FDR
NT_NT_NT_NT,1221.0,1.0880160189479755,1.104376778275851,1.089261459657754,1.362104768504458,0.9460099781432691,0.3660000000000001,0.6100000000000002,1.140601664177512,1.1430536943910146,1.1237606744920383,1.4162792586897937,0.9719342219187456,0.252,0.6,0.9432708709302612,0.9492355424668958,0.9612267389322248,1.1147340050090748,0.766922711261542,0.352,0.5866666666666666
NT_NT_NT_Safe,22872.0,0.970094950252366,0.9798311465627536,0.9882226393183664,1.015715632515668,0.9152465270031376,0.16,0.6100000000000002,1.0,0.9880803528861548,1.0,1.0686543100125745,0.8925901673582866,0.36,0.6,1.0006587057307397,1.006227007302396,1.0,1.1068016740691238,0.9206891288498532,0.71,0.8619999999999999
NT_NT_Safe_Safe,3655.0,0.9611639126828124,0.9740712023439564,0.9815542631485294,1.0465973834923732,0.8868456523810929,0.31,0.6100000000000002,0.9836818024030148,0.9637398726852812,0.9779123308246844,1.075362010226933,0.8336860540011283,0.316,0.6,1.0810884356960908,1.096799709800719,1.0838447570724703,1.2846435044344475,0.9849684509024412,0.274,0.5866666666666666
NT_Safe_Safe_Safe,2129.0,1.0144286061173795,1.0244776843371983,1.0077307678667966,1.151034049577479,0.9408383861057974,0.8919999999999999,0.8919999999999998,1.019299894880876,1.0352527571341816,1.0002942156013708,1.252563919109391,0.8803097901674286,0.998,0.998,1.0,1.009485527828727,1.0,1.2131576703821807,0.8357701123368979,0.862,0.8619999999999999
Safe_Safe_Safe_Safe,2345.0,1.0,1.0079356516213207,1.0,1.1235822521304133,0.9206740781640584,0.788,0.8919999999999998,0.963631298983684,0.973962610225685,0.977171856304088,1.180794436300683,0.8065638238985215,0.562,0.7025000000000001,0.9462681122576624,0.9604163430159997,0.9683431366860862,1.1019910257194017,0.827008396301227,0.35,0.5866666666666666
