gene_combination,gene_combination_unordered,TTN,LN_mean_relative,LN_mean_relative_bootstrap_median,LN_mean_relative_bootstrap_mean,LN_mean_relative_97.5P,LN_mean_relative_2.5P,LN_mean_relative_pvalue_twoside,LN_mean_relative_pvalue_twoside_FDR,95_percentile_relative,95_percentile_relative_bootstrap_median,95_percentile_relative_bootstrap_mean,95_percentile_relative_97.5P,95_percentile_relative_2.5P,95_percentile_relative_pvalue_twoside,95_percentile_relative_pvalue_twoside_FDR,TTN_normalized_relative,TTN_normalized_relative_bootstrap_median,TTN_normalized_relative_bootstrap_mean,TTN_normalized_relative_97.5P,TTN_normalized_relative_2.5P,TTN_normalized_relative_pvalue_twoside,TTN_normalized_relative_pvalue_twoside_FDR,Genotype
Ccnl1_Ccnl1_Ccnl2_Ccnl2,Ccnl1_Ccnl1_Ccnl2_Ccnl2,225.0,0.67111025046581,0.6583224864777362,0.6728846554583255,0.8731370885959108,0.538963728264488,0.004,0.0053643410852713,0.5980495317333627,0.5827590574537957,0.6066179452041836,1.1826097851783113,0.3242237764826231,0.108,0.12975,0.3711706025364527,0.3716088181827783,0.3794131466830691,0.522326551284238,0.27174365471179,0.0,0.0,KTCas12a
Ccnl1_Ccnl1_Ccnl2_Inert,Ccnl1_Ccnl1_Ccnl2_Inert,767.0,0.6470670227099695,0.6483075818646736,0.649943417348985,0.7234448298796601,0.5873928879633994,0.0,0.0,0.4596363261352315,0.4539732170469092,0.4687601723199132,0.6316111205655317,0.3704444523412987,0.0,0.0,0.7186786667494259,0.718052815478216,0.7232355604164249,0.9039167072345856,0.5596211860591587,0.01,0.0262121212121212,KTCas12a
Ccnl1_Ccnl1_Inert_Ccnl2,Ccnl1_Ccnl1_Ccnl2_Inert,155.0,0.6352714307762563,0.6320984613423284,0.6432899183174489,0.8257823981705391,0.5168317774101133,0.006,0.0078636363636363,0.4444994360396041,0.4437032768838538,0.5532338869264809,1.1009509156712431,0.3255794480355841,0.158,0.1872191780821917,0.60514555272795,0.6031776202232018,0.619669274178136,0.9686559988602464,0.3863796716573347,0.04,0.0887179487179487,KTCas12a
Ccnl1_Ccnl2_Inert_Inert,Ccnl1_Ccnl2_Inert_Inert,252.0,0.6139919839838262,0.6090735826484347,0.6160884302168522,0.7319749690772912,0.5268557252065237,0.0,0.0,0.3920405738032712,0.3956458659484313,0.420141534403693,0.6894230476468641,0.2870947979191619,0.014,0.0212456140350877,0.347241015455279,0.3467977942020417,0.3533986908568541,0.4943707795566029,0.2497078169341446,0.0,0.0,KTCas12a
Ccnl1_Inert_Ccnl2_Ccnl2,Ccnl1_Ccnl2_Ccnl2_Inert,321.0,0.5909244716603914,0.5856892469571868,0.5912407311274862,0.6885164233340448,0.5128537588127614,0.0,0.0,0.4699272584206461,0.3996915861875777,0.4555344475694919,0.7592096618458889,0.30036034194759,0.002,0.003326923076923,0.4759127540032795,0.4797723252346985,0.4892089395641832,0.6771011316840875,0.3659276533246828,0.0,0.0,KTCas12a
Ccnl1_Inert_Ccnl2_Inert,Ccnl1_Ccnl2_Inert_Inert,725.0,0.6638997873712814,0.6601095622967184,0.6653457932677227,0.7652768413324359,0.5886860176085569,0.0,0.0,0.5868282675702419,0.6000497755322232,0.5967141455108882,0.7963243385579836,0.3856010142718523,0.0,0.0,0.5586551685837398,0.5514643749717975,0.5601485404317841,0.6980969985839998,0.4560400474285371,0.0,0.0,KTCas12a
Ccnl1_Inert_Inert_Ccnl2,Ccnl1_Ccnl2_Inert_Inert,270.0,0.7194897225264867,0.7170194416503048,0.7213276515680173,0.8603197353825032,0.6175832296551432,0.0,0.0,0.6308859897626133,0.6319392007133383,0.6722115178136602,1.0418564757913262,0.4353364426694177,0.07,0.0883941605839416,0.5749770061110139,0.574264640511879,0.5956657509928516,0.8469600616661326,0.4211291964512882,0.016,0.0401159420289855,KTCas12a
Ccnl1_Inert_Inert_Inert,Ccnl1_Inert_Inert_Inert,1115.0,1.1519887429477194,1.1448155216630638,1.1553844626772718,1.4052050603946806,0.9735395902636832,0.1060000000000001,0.1198562091503269,1.1090283298727248,1.11077190132367,1.1287650455289822,1.4000961538461538,0.9226186351612098,0.246,0.2856241610738255,1.0882859536962324,1.0925725754746614,1.1001163635015367,1.397686163198099,0.8333995707423982,0.494,0.6892096774193549,KTCas12a
Ccnl2_Ccnl1_Inert_Inert,Ccnl1_Ccnl2_Inert_Inert,190.0,0.6753609822330257,0.6723904146953357,0.6805320927013154,0.8643676405945415,0.5489554642296954,0.002,0.0027244094488189,0.6903130518986471,0.6945380324282284,0.6772978582923711,1.0158869338546743,0.3631696112059412,0.07,0.0883941605839416,0.2367419114996097,0.2359482329247647,0.2418465445882318,0.3316717605992358,0.1729513623054002,0.0,0.0,KTCas12a
Ccnl2_Inert_Ccnl1_Inert,Ccnl1_Ccnl2_Inert_Inert,341.0,0.6786479436538555,0.6707749436380941,0.6795369248611219,0.8441262945358584,0.5697769355873997,0.004,0.0053643410852713,0.5111814892832304,0.5025027071639571,0.5432949562841628,1.1009032827486738,0.3839068887729687,0.068,0.0877910447761194,0.4590759365522378,0.4623738400648773,0.4695218196006759,0.6343702082056564,0.3486393844811858,0.0,0.0,KTCas12a
Ccnl2_Inert_Inert_Ccnl1,Ccnl1_Ccnl2_Inert_Inert,100.0,0.7167827059772915,0.7119341543378285,0.7252103852293424,0.960704268343364,0.557107140499639,0.034,0.0408472222222222,0.5564024299196262,0.5542291602897664,0.5996002045280914,0.8969219364192882,0.3320202659013233,0.04,0.0536434108527131,0.3082235412875806,0.2998943776355798,0.3198872933938304,0.5305971351323308,0.1911049042495626,0.004,0.0113442622950819,KTCas12a
Ccnl2_Inert_Inert_Inert,Ccnl2_Inert_Inert_Inert,1314.0,1.0168631419532097,1.0148847082485268,1.0145497199331055,1.1206276251424985,0.9050985886283616,0.782,0.7958000000000001,1.045665155823343,1.0425292870121,1.0482883254481024,1.2295419977377815,0.8945063247406291,0.5640000000000001,0.5949512195121951,1.0541245112035256,1.0533280640927425,1.0601862365951025,1.2732340552883326,0.888385704293927,0.5720000000000001,0.7553893129770993,KTCas12a
Cpt2_Cpt1a_Inert_Inert,Cpt1a_Cpt2_Inert_Inert,1116.0,1.578639095070172,1.581654350449593,1.5858541879961772,1.84465016598458,1.3649489893280249,0.0,0.0,1.935410332281828,1.9063880285527144,1.926535353685964,2.347550562612886,1.6236647997837943,0.0,0.0,0.7599502290071928,0.7634965854067781,0.767937781719646,0.9222164334445409,0.6510572658509536,0.002,0.0059655172413793,KTCas12a
Cpt2_Glut1_Inert_Inert,Cpt2_Glut1_Inert_Inert,1719.0,1.4439582749881854,1.451002368769421,1.4550614591399464,1.6790753225558974,1.251611381391667,0.0,0.0,1.7931630820243962,1.798733575575851,1.7982668661135683,2.18477053500774,1.459088249435032,0.0,0.0,0.949706517169214,0.9539037871708496,0.9555071098774002,1.1774866283307244,0.7374710031137813,0.704,0.8576901408450703,KTCas12a
Cpt2_Gpat3_Inert_Inert,Cpt2_Gpat3_Inert_Inert,1755.0,2.302482419903272,2.3143514992118,2.3228364884384645,2.726048201723656,1.9482280944697532,0.0,0.0,3.05396504459644,3.1029543285398,3.116061847261697,3.800357861372652,2.505916921253506,0.0,0.0,1.0226581078840176,1.020292966416546,1.0302027064901138,1.240368970167611,0.8639988917484652,0.8,0.9031948051948052,KTCas12a
Cpt2_Idh3a_Inert_Inert,Cpt2_Idh3a_Inert_Inert,1822.0,1.52121424734141,1.528111841922935,1.5325376917595703,1.8217052782609469,1.2756923537495233,0.0,0.0,1.922477142554881,1.9184751298184288,1.91536884444736,2.4033647756219465,1.4332197656933336,0.0,0.0,1.0161983383136632,1.0175483746692415,1.0230223435287915,1.2187075699673475,0.862465269822153,0.8620000000000001,0.9438354430379748,KTCas12a
Cpt2_Inert_Inert_Inert,Cpt2_Inert_Inert_Inert,1266.0,2.148745886483053,2.155221943694028,2.1654375750052903,2.5798856650612554,1.84891695671862,0.0,0.0,2.782902719973448,2.7906025634531675,2.7921897543161998,3.371521941347641,2.2135109648800246,0.0,0.0,1.02262193960434,1.0242448571563068,1.0369468461029097,1.275416726048957,0.8571882642173193,0.8520000000000001,0.938828025477707,KTCas12a
Cpt2_Pgk1_Inert_Inert,Cpt2_Inert_Inert_Pgk1,1163.0,1.3198540039138484,1.3247965170084195,1.3233540513846374,1.4554191536845864,1.1846195756078202,0.0,0.0,1.3688082854215535,1.3803375023918678,1.3937298617625842,1.7378511593596788,1.1249075785437916,0.002,0.003326923076923,0.9081087455775556,0.9133005711139744,0.9209967600336292,1.16916081086075,0.7149342346644959,0.532,0.71903125,KTCas12a
Cpt2_Sdha_Inert_Inert,Cpt2_Inert_Inert_Sdha,1364.0,2.081582852685851,2.0776015366679634,2.0919580095367096,2.5105593840035403,1.7471813238511742,0.0,0.0,2.1089910641947265,2.118216628384876,2.128068343403813,2.55326459785016,1.724490452153015,0.0,0.0,0.974136743415724,0.9738468770729146,0.9819649460446472,1.21273177579771,0.7983112110719762,0.818,0.9129935483870968,KTCas12a
G3bp1_G3bp1_G3bp2_G3bp2,G3bp1_G3bp1_G3bp2_G3bp2,118.0,0.6253651232772155,0.6201294315260206,0.6301773300156703,0.7851775400336576,0.5283754215058418,0.0,0.0,0.4567692951848677,0.4517946468303422,0.4960174036010588,0.9578358929395916,0.3031455713940487,0.03,0.04152,0.3735336105766247,0.3710601131394356,0.3884845585195481,0.6608264274282354,0.2306583045100926,0.002,0.0059655172413793,KTCas12a
G3bp1_G3bp1_G3bp2_Inert,G3bp1_G3bp1_G3bp2_Inert,321.0,0.7266400920380646,0.7138528306315238,0.7366218208135931,0.9941957249089012,0.6096173502995678,0.04,0.0470748299319727,0.4847042525785017,0.4949410857436771,0.5586583871488077,1.104589980403475,0.3363455291283121,0.1,0.1218309859154929,0.5295367262853391,0.524490842725349,0.5349923756265406,0.7224813604653781,0.3955073882825618,0.0,0.0,KTCas12a
G3bp1_G3bp1_Inert_G3bp2,G3bp1_G3bp1_G3bp2_Inert,147.0,0.7141582341692086,0.7100518878568255,0.7189779385963957,0.9143225334407152,0.5769990947886395,0.008,0.0101764705882352,0.6934855472437192,0.6645313144801883,0.6575746929954637,1.157550374735692,0.3655285309964094,0.088,0.1087428571428571,0.5937023109077327,0.6007005803994446,0.6432076733337583,1.1104164837012207,0.380395441524906,0.114,0.2191333333333333,KTCas12a
